country;dimension;group;item;lat_mean;lat_var;a;b1;b2;b3;b4
HKG;R;2;R4;-0,317313741;0,951593281;1,931230978;-0,877178473;0,138501674;0,968875414;2,059023513
HKG;R;2;R5;-0,317313741;0,951593281;2,355379635;-0,642789438;0,456821199;1,356907146;2,405458091
HKG;R;2;R6;-0,317313741;0,951593281;2,289118677;-0,82752447;0,155108065;1,064646073;2,144262343
HKG;R;2;R7;-0,317313741;0,951593281;2,47218638;-0,849892356;0,141719355;0,985313038;2,037335702
HKG;R;2;R8;-0,317313741;0,951593281;2,178949308;-0,763839832;0,218998054;1,103336843;2,340594733
HKG;I;1;I1;0;1;1,778600193;-1,583593723;-0,953640314;-0,152676367;1,069418981
HKG;I;1;I2;0;1;1,750178388;-1,721706737;-0,823226186;-0,04038541;1,160326441
HKG;I;1;I3;0;1;2,44850892;-1,236687708;-0,446448881;0,217347648;1,251154785
HKG;I;1;I4;0;1;1,905655968;-1,202342341;-0,270878812;0,447813582;1,669474638
HKG;I;1;I5;0;1;5,795683353;-0,890242525;-0,208670516;0,292432945;1,174409684
HKG;I;1;I6;0;1;2,459466423;-1,336260176;-0,461962782;0,293950267;1,25219716
HKG;I;1;I7;0;1;3,218757697;-0,816051762;-0,108961973;0,571627704;1,385458435
HKG;I;1;I8;0;1;1,413249572;-1,434674269;-0,331680691;0,545564957;1,79664303
HKG;I;2;I1;-0,04541782;1,06172038;1,778600193;-1,583593723;-0,953640314;-0,152676367;1,069418981
HKG;I;2;I2;-0,04541782;1,06172038;1,750178388;-1,721706737;-0,823226186;-0,04038541;1,160326441
HKG;I;2;I3;-0,04541782;1,06172038;2,44850892;-1,236687708;-0,446448881;0,217347648;1,251154785
HKG;I;2;I4;-0,04541782;1,06172038;1,905655968;-1,202342341;-0,270878812;0,447813582;1,669474638
HKG;I;2;I5;-0,04541782;1,06172038;4,196569243;-0,832953928;-0,164283485;0,476199276;1,400236651
HKG;I;2;I6;-0,04541782;1,06172038;2,459466423;-1,336260176;-0,461962782;0,293950267;1,25219716
HKG;I;2;I7;-0,04541782;1,06172038;3,218757697;-0,816051762;-0,108961973;0,571627704;1,385458435
HKG;I;2;I8;-0,04541782;1,06172038;1,20461639;-1,051445607;0,055046519;1,049474966;2,295650252
