"dimension","focal_group","item","MH_statistic","p_value","p_adj","Psi_hat","Alpha_hat","SE_log_Psi","rho_spear","significant","noninvariant"
"A","Muslim Middle East","A6",31.941,0,0,1.3346,0.2886,0.032,0.643,TRUE,"yes"
"A","Muslim Middle East","A7",10.776,0.001,0.0041,0.8689,-0.1405,0.0135,0.377,TRUE,"no"
"A","Muslim Middle East","A8",8.208,0.0042,0.0125,0.8938,-0.1123,0.0202,0.685,TRUE,"no"
"S","Asia","S1",39.237,0,0,0.9278,-0.075,0.0081,0.615,TRUE,"no"
"S","Asia","S2",228.009,0,0,0.8052,-0.2167,0.0072,0.628,TRUE,"no"
"S","Asia","S3",552.199,0,0,0.7087,-0.3443,0.0066,0.722,TRUE,"yes"
"S","Asia","S4",55.576,0,0,0.91,-0.0943,0.0076,0.556,TRUE,"no"
"S","Asia","S5",320.642,0,0,0.7678,-0.2642,0.0075,0.766,TRUE,"yes"
"S","Asia","S6",549.14,0,0,1.45,0.3716,0.0133,0.719,TRUE,"yes"
"S","Asia","S7",94.329,0,0,1.171,0.1579,0.011,0.747,TRUE,"no"
"S","Asia","S8",870.832,0,0,1.6015,0.4709,0.0148,0.724,TRUE,"yes"
"S","Sub Saharan Africa","S1",26.346,0,0,1.3495,0.2997,0.0335,0.502,TRUE,"yes"
"S","Sub Saharan Africa","S2",0.863,0.353,0.9091,0.9568,-0.0442,0.0277,0.742,FALSE,"no"
"S","Sub Saharan Africa","S3",18.338,0,1e-04,1.3218,0.279,0.0371,0.629,TRUE,"yes"
"S","Sub Saharan Africa","S4",64.77,0,0,1.5737,0.4534,0.0337,0.365,TRUE,"yes"
"S","Sub Saharan Africa","S5",0.191,0.6619,0.9091,0.9821,-0.0181,0.0267,0.789,FALSE,"no"
"S","Sub Saharan Africa","S6",23.844,0,0,1.364,0.3104,0.0366,0.616,TRUE,"yes"
"S","Sub Saharan Africa","S7",1.061,0.303,0.9091,1.0626,0.0608,0.0287,0.82,FALSE,"no"
"S","Sub Saharan Africa","S8",82.769,0,0,1.6905,0.5251,0.046,0.606,TRUE,"yes"
"S","Catholic West","S1",23.509,0,0,1.1959,0.1789,0.019,0.496,TRUE,"no"
"S","Catholic West","S2",10.111,0.0015,0.0044,1.1305,0.1227,0.0176,0.524,TRUE,"no"
"S","Catholic West","S3",61.094,0,0,0.755,-0.2811,0.012,0.622,TRUE,"yes"
"S","Catholic West","S4",7.315,0.0068,0.0137,1.1035,0.0985,0.0145,0.407,TRUE,"no"
"S","Catholic West","S5",66.701,0,0,0.7393,-0.302,0.0127,0.688,TRUE,"yes"
"S","Catholic West","S6",25.492,0,0,0.8357,-0.1795,0.0126,0.603,TRUE,"no"
"S","Catholic West","S7",0.431,0.5114,0.5114,0.9772,-0.023,0.0158,0.652,FALSE,"no"
"S","Catholic West","S8",90.505,0,0,0.7047,-0.3499,0.0114,0.609,TRUE,"yes"
"S","Latin America","S1",0.012,0.9123,1,1.0254,0.0251,0.0218,0.67,FALSE,"no"
"S","Latin America","S2",4.903,0.0268,0.1341,1.1397,0.1308,0.0263,0.49,TRUE,"no"
"S","Latin America","S3",28.247,0,0,0.7946,-0.2299,0.0166,0.545,TRUE,"yes"
"S","Latin America","S4",0.217,0.6415,1,1.0272,0.0269,0.0203,0.667,FALSE,"no"
"S","Latin America","S5",18.898,0,1e-04,0.8247,-0.1927,0.018,0.61,TRUE,"no"
"S","Latin America","S6",22.156,0,0,0.8064,-0.2151,0.0166,0.597,TRUE,"no"
"S","Latin America","S7",1.849,0.1739,0.6956,0.9443,-0.0574,0.0224,0.772,FALSE,"no"
"S","Latin America","S8",0.001,0.9733,1,0.9998,-2e-04,0.0222,0.732,FALSE,"no"
"S","Orthodox Europe","S1",60.356,0,0,1.5207,0.4192,0.0353,0.505,TRUE,"yes"
"S","Orthodox Europe","S2",29.781,0,0,0.7649,-0.2681,0.016,0.485,TRUE,"yes"
"S","Orthodox Europe","S3",0.065,0.7983,0.7983,0.9877,-0.0123,0.025,0.85,FALSE,"no"
"S","Orthodox Europe","S4",9.566,0.002,0.0079,1.1751,0.1613,0.0217,0.356,TRUE,"no"
"S","Orthodox Europe","S5",4.057,0.044,0.132,1.1269,0.1195,0.0341,0.864,TRUE,"no"
"S","Orthodox Europe","S6",34.376,0,0,0.7292,-0.3159,0.0155,0.581,TRUE,"yes"
"S","Orthodox Europe","S7",2.89,0.0892,0.1783,0.9143,-0.0896,0.02,0.768,FALSE,"no"
"S","Orthodox Europe","S8",116.004,0,0,0.5584,-0.5826,0.0135,0.598,TRUE,"yes"
"S","Muslim Middle East","S1",76.364,0,0,1.5324,0.4268,0.0365,0.481,TRUE,"yes"
"S","Muslim Middle East","S2",0.445,0.5049,1,0.984,-0.0161,0.0231,0.682,FALSE,"no"
"S","Muslim Middle East","S3",2.588,0.1077,0.5385,0.9224,-0.0808,0.0234,0.824,FALSE,"no"
"S","Muslim Middle East","S4",13.826,2e-04,0.0012,1.2202,0.199,0.0203,0.351,TRUE,"no"
"S","Muslim Middle East","S5",0.949,0.3299,1,1.0685,0.0663,0.0287,0.825,FALSE,"no"
"S","Muslim Middle East","S6",0.515,0.4729,1,0.9863,-0.0138,0.0197,0.544,FALSE,"no"
"S","Muslim Middle East","S7",23.773,0,0,0.7976,-0.2262,0.0164,0.588,TRUE,"yes"
"S","Muslim Middle East","S8",0.477,0.4897,1,1.0452,0.0442,0.0236,0.775,FALSE,"no"
"E","Asia","E1",1300.675,0,0,1.7818,0.5776,0.0172,0.671,TRUE,"yes"
"E","Asia","E2",309.673,0,0,0.778,-0.2511,0.0073,0.663,TRUE,"yes"
"E","Asia","E3",385.358,0,0,1.3723,0.3165,0.0128,0.725,TRUE,"yes"
"E","Asia","E4",280.14,0,0,0.7809,-0.2473,0.0072,0.601,TRUE,"yes"
"E","Asia","E5",14.751,1e-04,1e-04,1.0872,0.0836,0.0096,0.655,TRUE,"no"
"E","Asia","E6",286.407,0,0,1.3137,0.2728,0.013,0.781,TRUE,"yes"
"E","Asia","E7",4107.773,0,0,0.3628,-1.0139,0.0039,0.659,TRUE,"yes"
"E","Asia","E8",440.335,0,0,1.4071,0.3415,0.0127,0.66,TRUE,"yes"
"E","Sub Saharan Africa","E1",2.918,0.0876,0.4379,0.9378,-0.0642,0.0256,0.791,FALSE,"no"
"E","Sub Saharan Africa","E2",6.288,0.0122,0.0729,0.8947,-0.1112,0.0234,0.585,TRUE,"no"
"E","Sub Saharan Africa","E3",88.174,0,0,1.7167,0.5404,0.0433,0.536,TRUE,"yes"
"E","Sub Saharan Africa","E4",0.259,0.6105,1,1.0527,0.0514,0.0228,0.468,FALSE,"no"
"E","Sub Saharan Africa","E5",169.951,0,0,2.0865,0.7355,0.0605,0.482,TRUE,"yes"
"E","Sub Saharan Africa","E6",2.042,0.153,0.6122,1.097,0.0926,0.0305,0.863,FALSE,"no"
"E","Sub Saharan Africa","E7",0.671,0.4127,1,1.0743,0.0716,0.0263,0.531,FALSE,"no"
"E","Sub Saharan Africa","E8",0.933,0.334,1,1.0945,0.0903,0.0255,0.48,FALSE,"no"
"E","Catholic West","E1",1.112,0.2917,0.2917,0.9719,-0.0285,0.0165,0.548,FALSE,"no"
"E","Catholic West","E2",92.205,0,0,0.7057,-0.3485,0.0118,0.55,TRUE,"yes"
"E","Catholic West","E3",293.455,0,0,1.8999,0.6418,0.0311,0.609,TRUE,"yes"
"E","Catholic West","E4",62.253,0,0,0.7496,-0.2883,0.0119,0.458,TRUE,"yes"
"E","Catholic West","E5",94.571,0,0,1.4212,0.3515,0.021,0.521,TRUE,"yes"
"E","Catholic West","E6",10.972,9e-04,0.0018,1.1327,0.1246,0.0203,0.685,TRUE,"no"
"E","Catholic West","E7",166.709,0,0,0.6233,-0.4727,0.0106,0.556,TRUE,"yes"
"E","Catholic West","E8",25.423,0,0,1.2071,0.1882,0.0184,0.516,TRUE,"no"
"E","Latin America","E1",0.665,0.4148,0.4148,1.0783,0.0754,0.0238,0.55,FALSE,"no"
"E","Latin America","E2",63.885,0,0,0.6901,-0.3709,0.0156,0.551,TRUE,"yes"
"E","Latin America","E3",64.626,0,0,1.5063,0.4097,0.0331,0.611,TRUE,"yes"
"E","Latin America","E4",6.231,0.0126,0.0251,0.916,-0.0877,0.0173,0.46,TRUE,"no"
"E","Latin America","E5",47.483,0,0,1.3984,0.3353,0.03,0.522,TRUE,"yes"
"E","Latin America","E6",12.718,4e-04,0.0011,1.2181,0.1973,0.0304,0.687,TRUE,"no"
"E","Latin America","E7",84.923,0,0,0.6451,-0.4384,0.0148,0.559,TRUE,"yes"
"E","Latin America","E8",31.837,0,0,1.3377,0.2909,0.0268,0.518,TRUE,"yes"
"E","Orthodox Europe","E1",4.586,0.0322,0.0645,1.1304,0.1226,0.025,0.55,TRUE,"no"
